country,iso3c,iso2c,year,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)",GDP (current US$),"GDP per capita, PPP (current international $)",adminregion,incomeLevel
Africa Eastern and Southern,AFE,ZH,1988,,,1.89003E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1989,,,1.94543E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1990,,,2.12336E+11,1855.74664,,Aggregates
Africa Eastern and Southern,AFE,ZH,1991,,,2.20764E+11,1867.261532,,Aggregates
Africa Eastern and Southern,AFE,ZH,1992,,,2.20219E+11,1823.199837,,Aggregates
Africa Eastern and Southern,AFE,ZH,1993,,,2.34035E+11,1813.343992,,Aggregates
Africa Eastern and Southern,AFE,ZH,1994,,,2.39088E+11,1837.030775,,Aggregates
Africa Eastern and Southern,AFE,ZH,1995,,,2.69689E+11,1907.755508,,Aggregates
Africa Eastern and Southern,AFE,ZH,1996,,,2.6844E+11,1996.388553,,Aggregates
Africa Eastern and Southern,AFE,ZH,1997,,,2.82214E+11,2052.784608,,Aggregates
Africa Eastern and Southern,AFE,ZH,1998,,,2.65838E+11,2060.437505,,Aggregates
Africa Eastern and Southern,AFE,ZH,1999,,,2.62197E+11,2094.516362,,Aggregates
Africa Eastern and Southern,AFE,ZH,2000,,10.88172203,2.83953E+11,2159.399625,,Aggregates
Africa Eastern and Southern,AFE,ZH,2001,,10.512551,2.58843E+11,2229.739188,,Aggregates
Africa Eastern and Southern,AFE,ZH,2002,,10.37343399,2.64895E+11,2293.760994,,Aggregates
Africa Eastern and Southern,AFE,ZH,2003,,10.2298788,3.52692E+11,2350.920776,,Aggregates
Africa Eastern and Southern,AFE,ZH,2004,,10.00820163,4.38876E+11,2484.688315,,Aggregates
Africa Eastern and Southern,AFE,ZH,2005,,9.864339203,5.1226E+11,2651.038451,,Aggregates
Africa Eastern and Southern,AFE,ZH,2006,,9.702909128,5.75976E+11,2837.033484,,Aggregates
Africa Eastern and Southern,AFE,ZH,2007,,9.664930518,6.61242E+11,3027.821025,,Aggregates
Africa Eastern and Southern,AFE,ZH,2008,,9.893849043,7.08354E+11,3142.996117,,Aggregates
Africa Eastern and Southern,AFE,ZH,2009,,9.852882893,7.12558E+11,3109.605124,,Aggregates
Africa Eastern and Southern,AFE,ZH,2010,,9.467780221,8.47409E+11,3217.660159,,Aggregates
Africa Eastern and Southern,AFE,ZH,2011,,9.063697548,9.43378E+11,3323.272014,,Aggregates
Africa Eastern and Southern,AFE,ZH,2012,15.1,8.859790305,9.50521E+11,3237.870658,,Aggregates
Africa Eastern and Southern,AFE,ZH,2013,,8.749413803,9.64242E+11,3365.682977,,Aggregates
Africa Eastern and Southern,AFE,ZH,2014,10.5,8.565869403,9.84807E+11,3503.699383,,Aggregates
Africa Eastern and Southern,AFE,ZH,2015,10.3,8.479565194,9.1993E+11,3533.230819,,Aggregates
Africa Eastern and Southern,AFE,ZH,2016,,8.324659338,8.73355E+11,3627.294348,,Aggregates
Africa Eastern and Southern,AFE,ZH,2017,,8.244061696,9.85356E+11,3702.390685,,Aggregates
Africa Eastern and Southern,AFE,ZH,2018,,8.128884315,1.01285E+12,3791.875407,,Aggregates
Africa Eastern and Southern,AFE,ZH,2019,,8.036293388,1.00991E+12,3842.578511,,Aggregates
Africa Eastern and Southern,AFE,ZH,2020,,,9.20792E+11,3684.562623,,Aggregates
Africa Western and Central,AFW,ZI,1970,,,23504608015,,,Aggregates
Africa Western and Central,AFW,ZI,1971,,,20832819361,,,Aggregates
Africa Western and Central,AFW,ZI,1972,,,25264956496,,,Aggregates
Africa Western and Central,AFW,ZI,1973,,,31273822294,,,Aggregates
Africa Western and Central,AFW,ZI,1974,,,44214489606,,,Aggregates
Africa Western and Central,AFW,ZI,1975,,,51444737234,,,Aggregates
Africa Western and Central,AFW,ZI,1976,,,62129396933,,,Aggregates
Africa Western and Central,AFW,ZI,1977,,,65315014927,,,Aggregates
Africa Western and Central,AFW,ZI,1978,,,71199715512,,,Aggregates
Africa Western and Central,AFW,ZI,1979,,,88628410997,,,Aggregates
Africa Western and Central,AFW,ZI,1980,,,1.12031E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1981,,,2.11004E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1982,,,1.87164E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1983,,,1.38115E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1984,,,1.14263E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1985,,,1.16507E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1986,,,1.07498E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1987,,,1.10322E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1988,,,1.08943E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1989,,,1.01769E+11,,,Aggregates
Africa Western and Central,AFW,ZI,1990,,,1.21802E+11,1730.71152,,Aggregates
Africa Western and Central,AFW,ZI,1991,,,1.17457E+11,1763.354595,,Aggregates
Africa Western and Central,AFW,ZI,1992,,,1.18282E+11,1801.291617,,Aggregates
Africa Western and Central,AFW,ZI,1993,,,98826405551,1776.373521,,Aggregates
Africa Western and Central,AFW,ZI,1994,,,86281770253,1763.906972,,Aggregates
Africa Western and Central,AFW,ZI,1995,,,1.08221E+11,1790.671127,,Aggregates
Africa Western and Central,AFW,ZI,1996,,,1.25763E+11,1858.69302,,Aggregates
Africa Western and Central,AFW,ZI,1997,,,1.27064E+11,1921.690399,,Aggregates
Africa Western and Central,AFW,ZI,1998,,,1.30107E+11,1960.061542,,Aggregates
Africa Western and Central,AFW,ZI,1999,,,1.3752E+11,1965.690117,,Aggregates
Africa Western and Central,AFW,ZI,2000,,6.803571208,1.40408E+11,2027.39937,,Aggregates
Africa Western and Central,AFW,ZI,2001,,6.71954487,1.48012E+11,2123.119562,,Aggregates
Africa Western and Central,AFW,ZI,2002,,6.611608922,1.76933E+11,2298.886007,,Aggregates
Africa Western and Central,AFW,ZI,2003,,6.599238374,2.04642E+11,2405.563875,,Aggregates
Africa Western and Central,AFW,ZI,2004,,6.562576426,2.5409E+11,2596.234097,,Aggregates
Africa Western and Central,AFW,ZI,2005,,6.568313553,3.10554E+11,2757.792101,,Aggregates
Africa Western and Central,AFW,ZI,2006,,6.573376934,3.93297E+11,2912.195462,,Aggregates
Africa Western and Central,AFW,ZI,2007,,6.561711427,4.61778E+11,3066.933985,,Aggregates
Africa Western and Central,AFW,ZI,2008,,6.443446985,5.66426E+11,3230.719084,,Aggregates
Africa Western and Central,AFW,ZI,2009,,6.443925988,5.06996E+11,3359.362655,,Aggregates
Africa Western and Central,AFW,ZI,2010,,6.418581398,5.91583E+11,3532.142986,,Aggregates
Africa Western and Central,AFW,ZI,2011,,6.391095628,6.70963E+11,3675.392441,,Aggregates
Africa Western and Central,AFW,ZI,2012,13.3,6.301175546,7.27571E+11,3772.323802,,Aggregates
Africa Western and Central,AFW,ZI,2013,,6.20068643,8.20788E+11,4013.196523,,Aggregates
Africa Western and Central,AFW,ZI,2014,8.1,5.998003147,8.64967E+11,4208.73178,,Aggregates
Africa Western and Central,AFW,ZI,2015,8.1,5.768565977,7.6073E+11,4139.323364,,Aggregates
Africa Western and Central,AFW,ZI,2016,,5.672700957,6.90543E+11,4069.005667,,Aggregates
Africa Western and Central,AFW,ZI,2017,,5.55814454,6.83742E+11,4115.64548,,Aggregates
Africa Western and Central,AFW,ZI,2018,,5.429821054,7.41692E+11,4231.815774,,Aggregates
Africa Western and Central,AFW,ZI,2019,,5.409498902,7.94572E+11,4335.199547,,Aggregates
Africa Western and Central,AFW,ZI,2020,,,7.84588E+11,4242.114489,,Aggregates
Albania,ALB,AL,1970,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1971,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1972,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1973,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1974,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1975,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1976,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1977,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1978,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1979,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1980,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1981,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1982,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1983,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1984,,,1857338012,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1985,,,1897050133,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1986,,,2097326250,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1987,,,2080796250,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1988,,,2051236250,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1989,,,2253090000,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1990,,,2028553750,2548.112437,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1991,,,1099559028,1908.095304,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1992,4.005068568,,652174990.8,1822.334761,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1993,5.977724058,,1185315468,2056.373087,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1994,3.559490205,,1880951520,2288.675956,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1995,8.320154402,,2392764853,2664.373018,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1996,8.777877425,,3199641336,2978.508451,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1997,43.03577034,,2258513974,2717.644348,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1998,21.21709622,,2545964541,3021.041577,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1999,17.03653889,,3212121651,3471.661509,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2000,4.186311974,4.9,3480355258,3860.804627,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2001,7.029425495,4.5,3922100794,4299.546493,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2002,6.909384383,4.6,4348068242,4661.402695,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2003,5.323896566,4.8,5611496257,5000.049363,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2004,4.219147004,4.8,7184685782,5427.732662,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2005,4.988969195,7.5,8052073539,5865.301904,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2006,3.101513179,7.8,8896072919,6566.572828,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2007,3.460785836,8.1,10677324144,7283.342638,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2008,3.097230044,8.2,12881353508,8228.348041,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2009,2.859022604,8.1,12044208086,8813.029461,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2010,4.307963049,7.8,11926922829,9628.721962,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2011,4.848731527,7.9,12890764531,10207.76757,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2012,5.387614869,5.2,12319830437,10526.25918,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2013,4.270284194,5.3,12776220507,10570.96373,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2014,4.039627015,5,13228147516,11259.26751,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2015,2.214131417,4.8,11386850130,11658.90552,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2016,2.736947791,4.7,11861199831,12078.84314,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2017,2.010977859,4.7,13019689337,12770.96429,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2018,2.289492444,4.5,15156432310,13483.01161,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2019,,4.3,15400242875,14012.97644,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2020,,,14887629268,13439.66528,Europe & Central Asia (excluding high income),Upper middle income
Algeria,DZA,DZ,1970,,,4863487493,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1971,,,5077222367,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1972,,,6766766611,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1973,,,8707847924,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1974,,,13210029612,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1975,,,15557934268,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1976,,,17728347375,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1977,,,20971901273,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1978,,,26364491313,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1979,,,33243422158,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1980,,,42346380831,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1981,,,44348672668,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1982,,,45207088716,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1983,,,48801369800,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1984,,,53698278906,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1985,,,57937868670,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1986,,,63692238160,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1987,,,66746396416,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1988,,,59089067187,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1989,,,55634414465,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1990,,,62048562947,6912.087141,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1991,,,45715614560,6888.50995,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1992,,,48003078389,7005.700763,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1993,,,49945599429,6866.889117,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1994,,,42543178042,6807.951662,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1995,,,41764315330,7078.35118,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1996,,,46941582519,7373.074997,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1997,,,48177612042,7465.899584,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1998,,,48187747529,7816.772149,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1999,,,48640653469,8068.296688,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2000,,4.5,54790392746,8446.587741,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2001,,4.5,54744712815,8775.117907,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2002,,4.4,56760355865,9293.837143,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2003,2.01461938,4.1,67863828413,10019.35789,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2004,1.373418263,4,85332581189,10591.03819,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2005,0.615389813,3.9,1.03198E+11,11405.64252,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2006,0.927439538,3.7,1.17027E+11,11776.0404,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2007,0.793163551,3.5,1.34977E+11,12311.03843,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2008,0.944412023,3.4,1.71001E+11,12643.15148,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2009,0.783950091,3.2,1.37211E+11,12722.37869,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2010,0.705997765,3,1.61207E+11,13095.44918,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2011,0.763745274,3,2.00013E+11,13500.04479,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2012,1.398998002,2.9,2.09059E+11,13303.32752,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2013,1.258516783,2.9,2.09755E+11,13056.80259,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2014,1.482387794,2.8,2.1381E+11,13003.26686,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2015,1.364276397,2.7,1.65979E+11,12015.64053,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2016,,2.6,1.60034E+11,11624.34078,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2017,,2.5,1.70097E+11,11737.40124,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2018,,2.5,1.74911E+11,11909.92982,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2019,,2.5,1.71767E+11,12009.24821,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2020,,,1.45009E+11,11324.23581,Middle East & North Africa (excluding high income),Lower middle income
American Samoa,ASM,AS,1970,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1971,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1972,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1973,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1974,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1975,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1976,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1977,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1978,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1979,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1980,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1981,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1982,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1983,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1984,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1985,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1986,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1987,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1988,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1989,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1990,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1991,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1992,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1993,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1994,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1995,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1996,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1997,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1998,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1999,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2000,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2001,1.7095186,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2002,11.84894291,,512000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2003,5.042440541,,524000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2004,6.701963675,,509000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2005,10.07438252,,500000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2006,6.767158978,,493000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2007,1.713296897,,518000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2008,5.218298835,,560000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2009,3.52889281,,675000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2010,8.915198631,,573000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2011,8.967805578,,570000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2012,3.592663781,,640000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2013,5.38435307,,638000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2014,5.377211378,,643000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2015,7.167688062,,673000000,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2016,5.382227884,,671000000,,East Asia & Pacific (excluding high income),Upper middle income
